"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"103","Jermaine   Allensworth","allenje01",1998,"PIT","NL",260000,0.375968992248062,0.170542635658915,258,44341.0852713178,97751.9379844961,53410.8527131783,1,8644000,1673410.94877259,2799577.38550434,69,1126166.43673176
"104","Jermaine   Allensworth","allenje01",1997,"PIT","NL",160000,0.355971896955504,0.19672131147541,427,31475.4098360656,56955.5035128806,25480.093676815,1,7234167,1524206.48348073,2589161.33024713,79,1064954.84676641
"105","Jermaine   Allensworth","allenje01",1996,"PIT","NL",109000,0.344961240310078,0.201550387596899,258,21968.992248062,37600.7751937985,15631.7829457364,1,16054500,2801635.08636903,5560146.50153739,73,2758511.41516835
"106","Beau   Allred","allrebe01",1991,"CLE","AL",102500,0.380645161290323,0.232258064516129,155,23806.4516129032,39016.1290322581,15209.6774193548,1,4885000,765075.704406747,1489928.49351663,57,724852.789109885
"107","Bill   Almon","almonbi01",1986,"PIT","NL",260000,0.337662337662338,0.186147186147186,231,48398.2683982684,87792.2077922078,39393.9393939394,1,3985000,640739.113192604,1451567.30216009,64,810828.188967483
"108","Bill   Almon","almonbi01",1985,"PIT","NL",255000,0.340740740740741,0.248148148148148,270,63277.7777777778,86888.8888888889,23611.1111111111,1,5321667,697642.467661814,1885582.59578753,57,1187940.12812572
"109","Roberto   Alomar","alomaro01",2001,"CLE","AL",7750000,0.432392273402675,0.11887072808321,673,921248.142644874,3351040.11887073,2429791.97622585,4,53851834,9863778.96072474,20465172.0292404,91,10601393.0685157
"110","Roberto   Alomar","alomaro01",1997,"BAL","AL",6354379,0.407327586206897,0.114224137931034,464,725823.463362069,2588313.85991379,1862490.39655172,2,34526400,5686761.82639868,12669543.5956745,98,6982781.76927578
"111","Roberto   Alomar","alomaro01",2002,"NYN","NL",7939664,0.336906584992343,0.145482388973966,653,1155081.2863706,2674925.08422665,1519843.79785605,2,54554427,10840854.6454022,19138724.8133701,75,8297870.16796794
"112","Roberto   Alomar","alomaro01",1994,"TOR","AL",5433334,0.395555555555556,0.122222222222222,450,664074.155555555,2149185.44888889,1485111.29333333,2,26655168,3984583.43288684,9825107.26580667,55,5840523.83291983
"113","Roberto   Alomar","alomaro01",1998,"BAL","AL",6343771,0.357686453576865,0.123287671232877,657,782108.753424658,2269080.95129376,1486972.1978691,2,43051155,6581023.15300949,15437301.4951573,79,8856278.34214778
"114","Roberto   Alomar","alomaro01",2000,"CLE","AL",7196656,0.389855072463768,0.146376811594203,690,1053423.55942029,2805652.84637681,1752229.28695652,2,46306156,8437476.52946648,18265040.5070287,90,9827563.97756217
"115","Roberto   Alomar","alomaro01",1999,"CLE","AL",7049966,0.443795620437956,0.159124087591241,685,1121819.40729927,3128744.0350365,2006924.62773723,2,46821966,8994096.12376307,19348089.8153448,97,10353993.6915817
"116","Roberto   Alomar","alomaro01",1995,"TOR","AL",5500000,0.369337979094077,0.106271777003484,574,584494.773519164,2031358.88501742,1446864.11149826,2,29768000,4410368.01150853,10537958.1238118,56,6127590.11230329
"117","Roberto   Alomar","alomaro01",1996,"BAL","AL",4279379,0.436519258202568,0.112696148359486,701,482269.530670471,1868031.34664765,1385761.81597718,2,31655982,4816975.2235114,12148663.0866163,88,7331687.86310487
"118","Roberto   Alomar","alomaro01",1992,"TOR","AL",2983333,0.411940298507463,0.0895522388059701,670,267164.149253731,1228955.08656716,961790.937313433,5,20513166,3361359.79740574,6981855.4117076,96,3620495.61430186
"119","Roberto   Alomar","alomaro01",2003,"NYN","NL",8000000,0.353333333333333,0.16,300,1280000,2826666.66666667,1546666.66666667,2,51393096,9617775.38053634,18759091.0513357,66,9141315.67079937
"120","Roberto   Alomar","alomaro01",1993,"TOR","AL",4933333,0.419590643274854,0.116959064327485,684,576998.011695906,2069980.36695906,1492982.35526316,2,25709166,4340452.64012979,9294366.76950398,95,4953914.1293742
"121","Roberto   Alomar","alomaro01",2004,"ARI","NL",1000000,0.382113821138211,0.16260162601626,123,162601.62601626,382113.821138211,219512.195121951,1,33340000,5432339.84644994,11897839.8154223,51,6465499.96897238
"122","Roberto   Alomar","alomaro01",1991,"TOR","AL",1300000,0.364022662889518,0.128895184135977,706,167563.739376771,473229.461756374,305665.722379603,1,13562417,2227414.87737007,4511976.17466986,91,2284561.29729979
"123","Roberto   Alomar","alomaro01",1989,"SDN","NL",150000,0.362844702467344,0.124818577648766,689,18722.786647315,54426.7053701016,35703.9187227866,1,6228167,1126634.61348468,2288340.24541709,89,1161705.63193241
"124","Roberto   Alomar","alomaro01",1990,"SDN","NL",390000,0.348909657320872,0.137071651090343,642,53457.9439252336,136074.76635514,82616.8224299065,1,8792834,1422407.98810517,3193406.3608992,75,1770998.37279403
"125","Sandy   Alomar","alomasa02",1994,"CLE","AL",2200000,0.354037267080745,0.118012422360248,322,259627.329192547,778881.98757764,519254.658385093,5,17434333,2549689.85930783,6304459.17675721,66,3754769.31744938
